Station_ID        Label   Longitude     Latitude             East            North               Up
---------- ------------ ----------- ------------ ---------------- ---------------- ----------------
         0 Array_Centre 116.7644482 -26.82472208      0.000000000      0.000000000      0.000000000
         1           C1 116.7655399 -26.82598212    108.522856099   -139.613879910     -0.002457809
         2           C2 116.7639199 -26.82400458    -52.517743156     79.499438442     -0.000713845
         3           C3 116.7651234 -26.82519844     67.120213028    -52.781234553     -0.000572342
         4           C4 116.7632707  -26.8251632   -117.052836629    -48.876979507     -0.001261512
         5           C5 116.7647362 -26.82463766     28.629615694      9.353768390     -0.000071103
         6           C6 116.7642597 -26.82325862    -18.738707951    162.152462659     -0.002098374
         7           C7 116.7642824 -26.82416999    -16.481978370     61.171983392     -0.000316001
         8           C8   116.76438 -26.82506289     -6.779626743    -37.762012804     -0.000115911
         9           C9 116.7654336 -26.82419534     97.957405719     58.362814749     -0.001019991
        10          C10 116.7631211 -26.82429413   -131.925269320     47.416498188     -0.001540518
        11          C11 116.7635745 -26.82428184    -86.853379735     48.778630182     -0.000778352
        12          C12 116.7658808 -26.82362068    142.413727774    122.035153997     -0.002761790
        13          C13 116.7644358  -26.8255531     -1.232654104    -92.077660496     -0.000667868
        14          C14 116.7647771 -26.82533563     32.695218420    -67.981857096     -0.000447733
        15          C15  116.764054 -26.82459854    -39.186799939     13.688266046     -0.000135056
        16          C16 116.7626123 -26.82468757   -182.503779221      3.822415064     -0.002610449
        17          C17 116.7648029 -26.82399616     35.260353725     80.432440830     -0.000606927
        18          C18 116.7658352 -26.82414453    137.880030776     63.992228402     -0.001811823
        19          C19 116.7640291 -26.82512808    -41.661875973    -44.985182253     -0.000295359
        20          C20 116.7649085 -26.82491591     45.757569145    -21.476596288     -0.000200352
        21          C21   116.76592 -26.82458807    146.309328879     14.847562906     -0.001694327
        22          C22 116.7661627 -26.82516717    170.434888649    -49.317466541     -0.002467166
        23          C23 116.7651635 -26.82559726     71.106220801    -96.970823278     -0.001136697
        24          C24 116.7640078 -26.82355978    -43.779868245    128.783647260     -0.001456401
        25          C25 116.7654027 -26.82351788     94.886238888    133.425917968     -0.002107441
        26          C26  116.763623 -26.82333348    -82.032740786    153.857666101     -0.002391592
        27          C27 116.7645438 -26.82367721      9.503522000    115.772387341     -0.001062713
        28          C28 116.7647061 -26.82617453     25.637077320   -160.932619432     -0.002091314
        29          C29 116.7639855 -26.82568058    -45.995839927   -106.202628058     -0.001054068
        30          C30 116.7650723 -26.82371812     62.041275644    111.239379638     -0.001276127
        31          C31 116.7654382 -26.82539298     98.413651385    -74.336623104     -0.001193959
        32          C32 116.7650863 -26.82320406     63.433290547    168.197605851     -0.002543371
        33          C33 116.7638584 -26.82607063    -58.630329576   -149.420527401     -0.002027723
        34          C34 116.7662326 -26.82416669    177.385060590     61.536390180     -0.002763226
        35          C35 116.7636826   -26.825313    -76.106610510    -65.474622591     -0.000791398
        36          C36 116.7631402  -26.8256788   -130.024982840   -106.005988601     -0.002209490
        37          C37 116.7651604 -26.82466117     70.798639196      6.748676243     -0.000396261
        38          C38 116.7633534 -26.82474063   -108.832204611     -2.055823479     -0.000928220
        39          C39 116.7651052 -26.82620429     65.310412560   -164.230193938     -0.002458427
        40          C40 116.7626254 -26.82423371   -181.202251860     54.110468967     -0.002802819
        41          C41 116.7636904 -26.82458619    -75.331710333     15.056491544     -0.000462420
        42          C42 116.7663276 -26.82449107    186.828364469     25.594702487     -0.002786017
        43          C43 116.7625929 -26.82524526   -184.431398155    -57.970095944     -0.002929383
        44          C44 116.7649674 -26.82438176     51.612950903     37.707611260     -0.000320674
        45          C45 116.7638367 -26.82640251    -60.787287342   -186.193104670     -0.003019906
        46          C46 116.7628656  -26.8238663   -157.324779854     94.820095837     -0.002647102
        47          C47 116.7659002 -26.82575495    144.339563351   -114.443623928     -0.002663660
        48          C48 116.7628386  -26.8249453   -160.007308901    -24.733962265     -0.002053854
        49          C49 116.7645657 -26.82298227     11.680655305    192.772256725     -0.002937494
        50          C50 116.7662168 -26.82557408    175.812229390    -94.403485334     -0.003123373
        51          C51 116.7647726 -26.82341861     32.248426106    144.425423816     -0.001724298
        52          C52 116.7642471 -26.82596996    -19.990792977   -138.266091598     -0.001536999
        53          C53 116.7633445  -26.8238249   -109.717820449     99.407750722     -0.001721347
        54          C54 116.7655102 -26.82451286    105.571823525     23.181295022     -0.000915449
        55          C55 116.7664459  -26.8248581    198.587752020    -15.072683023     -0.003107370
        56          C56 116.7629456  -26.8254135   -149.370026187    -76.610755284     -0.002210118
        57          C57 116.7648417 -26.82577849     39.116808847   -117.051109697     -0.001198955
        58          C58 116.7635399 -26.82582645    -90.291696357   -122.365377735     -0.001817962
        59          C59 116.7644183 -26.82448199     -2.972314860     26.602155820     -0.000056430
        60          C60 116.7656886 -26.82504806    123.305720007    -36.119437814     -0.001293847
        61          C61 116.7631797 -26.82605715   -126.097968569   -147.927426480     -0.002969114
        62          C62 116.7634832 -26.82624136    -95.927743702   -168.337774880     -0.002952752
        63          C63  116.763684 -26.82495975    -75.967675177    -26.334247823     -0.000506723
        64          C64 116.7632454 -26.82340203   -119.569705813    146.261975063     -0.002804886
        65          C65 116.7639195 -26.82303146    -52.557955691    187.321864202     -0.002980041
        66          C66 116.7643659 -26.82645226     -8.181179990   -191.705300522     -0.002899739
        67          C67  116.762996 -26.82465271   -144.360841717      7.685423738     -0.001637248
        68          C68 116.7654434 -26.82316337     98.932507915    172.705859829     -0.003115951
        69          C69 116.7655698 -26.82382532    111.497242873     99.361198812     -0.001751454
        70          C70 116.7642254 -26.82381443    -22.148348868    100.568292068     -0.000835006
        71          C71 116.7658689 -26.82541509    141.228532701    -76.786834800     -0.002026902
        72          C72 116.7661605 -26.82381893    170.218205835    100.068560314     -0.003058502
        73          C73 116.7648361 -26.82648871     38.559887022   -195.744045798     -0.003134219
        74          C74  116.762772 -26.82568999   -166.626800316   -107.246279512     -0.003080929
        75          C75 116.7653454 -26.82494098     89.188968066    -24.254603824     -0.000669498
        76          C76 116.7663944 -26.82617565    193.465992185   -161.058173035     -0.004975180
        77          C77 116.7664468 -26.82650837    198.674341038   -197.923894227     -0.006177497
        78          C78 116.7625601 -26.82260188   -187.696331223    234.918359529     -0.007106378
        79          C79 116.7657815 -26.82657439    132.538949967   -205.238095107     -0.004693727
        80          C80 116.7616289 -26.82384839   -280.264009513     96.802406250     -0.006891427
        81          C81 116.7652462 -26.82734339     79.326009158   -290.443466703     -0.007136932
        82          C82 116.7631213 -26.82666532   -131.902641804   -215.313205062     -0.005014260
        83          C83 116.7672825 -26.82346752    281.756087667    139.003055563     -0.007740872
        84          C84 116.7627999 -26.82644619   -163.852244136   -191.033800607     -0.004977473
        85          C85 116.7664591 -26.82314495    199.902946448    174.745614247     -0.005535546
        86          C86 116.7635966 -26.82688522    -84.654512705   -239.677895875     -0.005085806
        87          C87 116.7621415  -26.8254654   -229.303661895    -82.362514866     -0.004653370
        88          C88  116.764998 -26.82695038     54.653621957   -246.897510650     -0.005035071
        89          C89 116.7629746 -26.82285708   -146.490489974    206.642556766     -0.005044255
        90          C90 116.7615335 -26.82422313   -289.746682252     55.280715982     -0.006817521
        91          C91 116.7627927 -26.82686624   -164.567366276   -237.575685620     -0.006566996
        92          C92 116.7617537 -26.82455842   -267.856087228     18.130811428     -0.005646495
        93          C93 116.7632495 -26.82217299   -119.163412577    282.440518692     -0.007395291
        94          C94 116.7672552 -26.82585337    279.036366484   -125.350896410     -0.007337144
        95          C95 116.7621609 -26.82416921   -227.377740460     61.256370661     -0.004345729
        96          C96  116.761874 -26.82327722   -255.900127904    160.088988574     -0.007148538
        97          C97 116.7653964 -26.82272323     94.260617398    221.473733755     -0.004559267
        98          C98 116.7671022 -26.82427994    263.830689693     48.986693041     -0.005641938
        99          C99 116.7656369 -26.82703905    118.164259444   -256.722652792     -0.006284621
       100         C100 116.7656085 -26.82629731    115.341871851   -174.537241744     -0.003441487
       101         C101  116.763807 -26.82221824    -63.742012014    277.427187248     -0.006380111
       102         C102 116.7634192 -26.82276293   -102.292914475    217.074881918     -0.004531012
       103         C103 116.7668948 -26.82564607    243.210408525   -102.381152471     -0.005459426
       104         C104 116.7661372 -26.82255359    167.903838685    240.269205848     -0.006755267
       105         C105 116.7640186 -26.82263542    -42.706594020    231.203426185     -0.004352987
       106         C106 116.7621211 -26.82296638   -231.336653159    194.530765912     -0.007172907
       107         C107 116.7668842 -26.82385968    242.160486494     95.552254289     -0.005313049
       108         C108 116.7622668 -26.82505449   -216.848663659    -36.833147290     -0.003790630
       109         C109 116.7658279 -26.82239906    137.156447882    257.391614799     -0.006691585
       110         C110 116.7649912 -26.82236118     53.979833273    261.589376315     -0.005617724
       111         C111 116.7626226 -26.82598492   -181.477806364   -139.924960250     -0.004122081
       112         C112 116.7645539 -26.82694785     10.507253491   -246.617070659     -0.004798819
       113         C113 116.7633663 -26.82718924   -107.547525636   -273.363730965     -0.006791650
       114         C114 116.7622453 -26.82341098   -218.989095609    145.268974985     -0.005418935
       115         C115 116.7616692 -26.82577828   -276.253143449   -117.030804156     -0.007057242
       116         C116 116.7628237 -26.82354014   -161.490481873    130.958816827     -0.003393773
       117         C117 116.7660285 -26.82622295    157.092888969   -166.298545372     -0.004111390
       118         C118 116.7642422 -26.82201412    -20.478599505    300.043976197     -0.007123315
       119         C119 116.7667019 -26.82340513    224.039107588    145.917070734     -0.005609066
       120         C120 116.7665894 -26.82535037    212.851908213    -69.616813008     -0.003930947
       121         C121 116.7621203 -26.82373723   -231.414615137    109.120008275     -0.005133093
       122         C122 116.7645773 -26.82234715     12.833880907    263.144019485     -0.005466609
       123         C123 116.7662301 -26.82342668    177.137689281    143.530059973     -0.004080635
       124         C124 116.7672749 -26.82481892    280.997242630    -10.733074481     -0.006194705
       125         C125 116.7624309 -26.82653613   -200.533198491   -200.999753753     -0.006332270
       126         C126  116.766926 -26.82617013    246.310789544   -160.447473314     -0.006780314
       127         C127 116.7620173 -26.82651026   -241.647877304   -198.134057339     -0.007666405
       128         C128 116.7622932 -26.82623597   -214.222069862   -167.742012042     -0.005811172
       129         C129 116.7617214 -26.82541223   -271.064948648    -76.472065173     -0.006216663
       130         C130 116.7640445 -26.82718983    -40.130267011   -273.428709030     -0.006014501
       131         C131 116.7667126 -26.82415317    225.101310713     63.033655660     -0.004282434
       132         C132 116.7661493 -26.82672156    169.100514860   -221.545085600     -0.006105819
       133         C133 116.7668224 -26.82295559    236.018879266    195.726219226     -0.007381077
       134         C134 116.7653755 -26.82224409     92.183334881    274.562812706     -0.006602998
       135         C135 116.7616432 -26.82507543   -278.839456153    -39.154532786     -0.006211742
       136         C136 116.7675196 -26.82533617    305.321049983    -68.045340089     -0.007667539
       137         C137 116.7626337 -26.82301075   -180.379095748    189.615368099     -0.005380629
       138         C138 116.7647103 -26.82190813     26.055562733    311.787734822     -0.007709551
       139         C139 116.7631223 -26.82255216   -131.807994388    240.428079454     -0.005913780
       140         C140 116.7622778  -26.8258963   -215.753580929   -130.106333787     -0.004979884
       141         C141 116.7668197 -26.82653546    235.743063984   -200.926125756     -0.007533329
       142         C142 116.7642399 -26.82680215    -20.706373716   -230.473406330     -0.004217152
       143         C143 116.7661542 -26.82704072    169.587131857   -256.908276324     -0.007451316
       144         C144 116.7674227 -26.82443615    295.690772527     31.677799625     -0.006928481
       145         C145 116.7666547 -26.82590629    219.342164837   -131.213295508     -0.005124986
       146         C146 116.7661875 -26.82288295    172.903672190    203.775807434     -0.005612476
       147         C147 116.7669636 -26.82463374    250.051867265      9.785662939     -0.004905783
       148         C148 116.7644075 -26.82266232     -4.045991543    228.222957975     -0.004103545
       149         C149 116.7664854 -26.82271089    202.518192928    222.839742122     -0.007124000
       150         C150 116.7665177 -26.82374226    205.727275614    108.563125312     -0.004243872
       151         C151 116.7613343 -26.82451061   -309.548123948     23.427242409     -0.007549707
       152         C152 116.7612312 -26.82550191   -319.794357172    -86.409819766     -0.008599715
       153         C153 116.7686378 -26.82529022    416.478995404    -62.957222765     -0.013900505
       154         C154 116.7605929 -26.82579734   -383.245255607   -119.145462400     -0.012624288
       155         C155 116.7650951 -26.82117971     64.309238076    392.497057643     -0.012457246
       156         C156 116.7653222  -26.8280368     86.880338245   -367.273909786     -0.011215239
       157         C157 116.7627565 -26.82784591   -168.164433097   -346.123962679     -0.011650944
       158         C158  116.764037 -26.82792142    -40.875550663   -354.489478361     -0.010028067
       159         C159 116.7683599 -26.82601356    388.851093465   -143.102980144     -0.013458194
       160         C160 116.7609995 -26.82640912   -342.824375408   -186.930007448     -0.011959200
       161         C161 116.7640259 -26.82096612    -41.981515156    416.163075644     -0.013778617
       162         C162 116.7618694  -26.8227134   -256.358680718    222.560653567     -0.009049674
       163         C163 116.7676604 -26.82675263    319.313694354   -224.990572889     -0.011974456
       164         C164 116.7665496 -26.82770799    208.891155399   -330.842922390     -0.012039192
       165         C165 116.7686127 -26.82458774    413.986412163     14.878185851     -0.013443604
       166         C166 116.7653518 -26.82141498     89.827960311    366.428817577     -0.011207212
       167         C167 116.7659312 -26.82734683    147.419132855   -290.825233142     -0.008363952
       168         C168 116.7610827 -26.82372739   -334.561602426    110.207975065     -0.009725240
       169         C169 116.7677769 -26.82592112    330.896972040   -132.858902823     -0.009967823
       170         C170 116.7609614 -26.82337974   -346.620993999    148.727530627     -0.011154326
